Rank,Player,Team,2019-20,2020-21,2021-22,Signed Using,Guaranteed
92,jordan clarkson\clarkjo01,uta,13437500.0,9384835.395415472,11534705.223300971,cap space,13437500.0
93,dewayne dedmon\dedmode01,atl,13333334.0,13333333.0,13333333.0,cap space,40000000.0
94,solomon hill\hillso01,mia,13258781.0,9384835.395415472,11534705.223300971,cap space,13258781.0
95,justise winslow\winslju01,mem,13000000.0,13000000.0,13000000.0,1st round pick,26000000.0
96,michael kidd-gilchrist\kiddgmi01,cho,13000000.0,9384835.395415472,11534705.223300971,1st round pick,13000000.0
97,will barton\bartowi01,den,12960000.0,13920000.0,14880000.0,bird rights,26880000.0
98,thaddeus young\youngth01,chi,12900000.0,13545000.0,14190000.0,cap space,32445000.0
99,courtney lee\leeco01,dal,12759670.0,9384835.395415472,11534705.223300971,cap space,12759670.0
100,larry nance\nancela02,cle,12727273.0,11709091.0,10690909.0,1st round pick,44800000.0
101,marcus smart\smartma01,bos,12553471.0,13446428.0,14339285.0,bird rights,40339184.0
102,terrence ross\rosste01,orl,12500000.0,13500000.0,12500000.0,bird rights,50000000.0
103,miles plumlee\plumlmi01,mem,12500000.0,9384835.395415472,11534705.223300971,1st round pick,12500000.0
104,patty mills\millspa02,sas,12428571.0,13285714.0,11534705.223300971,bird rights,25714285.0
105,patrick beverley\beverpa01,lac,12345679.0,13333333.0,14320988.0,bird rights,40000000.0
106,trevor ariza\arizatr01,por,12200000.0,12800000.0,11534705.223300971,cap space,14000000.0
107,dion waiters\waitedi01,mem,12100000.0,12650000.0,11534705.223300971,1st round pick,24750000.0
108,brook lopez\lopezbr01,mil,12093024.0,12697675.0,13302325.0,cap space,52000000.0
109,jusuf nurkić\nurkiju01,por,12000000.0,12000000.0,12000000.0,bird rights,28000000.0
110,cory joseph\josepco01,sac,12000000.0,12600000.0,12600000.0,cap space,24600000.0
111,joe ingles\inglejo01,uta,11954546.0,10863637.0,14000000.0,bird rights,36818183.0
112,kelly olynyk\olynyke01,mia,11667885.0,12198243.0,11534705.223300971,cap space,11667885.0
113,maurice harkless\harklma01,nyk,11511234.0,9384835.395415472,11534705.223300971,cap space,11511234.0
114,tony snell\snellto01,det,11392857.0,12178571.0,11534705.223300971,cap space,11392857.0
115,robert covington\covinro01,hou,11301219.0,12138345.0,12975471.0,cap space,36415035.0
116,meyers leonard\leoname01,mia,11286515.0,9384835.395415472,11534705.223300971,cap space,11286515.0
117,t.j. warren\warretj01,ind,10810000.0,11750000.0,12690000.0,1st round pick,35250000.0
118,andre roberson\roberan03,okc,10740741.0,9384835.395415472,11534705.223300971,bird rights,10740741.0
119,spencer dinwiddie\dinwisp01,brk,10600000.0,11400000.0,12300000.0,minimum salary,22000000.0
